"Time Stamp","Time Zone","Name","PTID","Energy Bid Load","Bilateral Load","Price Cap Load","Virtual Load","Virtual Supply"
"08/29/2019 00:00:00","EDT","CAPITL",61757,1017,168,0,0,-60
"08/29/2019 00:00:00","EDT","CENTRL",61754,1015,1413,0,96,-1127
"08/29/2019 00:00:00","EDT","DUNWOD",61760,180,247,197,30,-63
"08/29/2019 00:00:00","EDT","GENESE",61753,708,222,0,29,-192
"08/29/2019 00:00:00","EDT","HUD VL",61758,673,157,180,15,-162
"08/29/2019 00:00:00","EDT","LONGIL",61762,774,1450,0,179,-87
"08/29/2019 00:00:00","EDT","MHK VL",61756,417,183,0,11,-293
"08/29/2019 00:00:00","EDT","MILLWD",61759,152,56,33,5,-109
"08/29/2019 00:00:00","EDT","N.Y.C.",61761,2845,1445,1690,123,-140
"08/29/2019 00:00:00","EDT","NORTH",61755,77,338,0,54,-171
"08/29/2019 00:00:00","EDT","WEST",61752,920,596,0,138,-56
"08/29/2019 01:00:00","EDT","CAPITL",61757,932,194,0,0,-63
"08/29/2019 01:00:00","EDT","CENTRL",61754,963,1405,0,91,-1127
"08/29/2019 01:00:00","EDT","DUNWOD",61760,173,238,181,25,-54
"08/29/2019 01:00:00","EDT","GENESE",61753,665,219,0,44,-218
"08/29/2019 01:00:00","EDT","HUD VL",61758,638,147,166,13,-134
"08/29/2019 01:00:00","EDT","LONGIL",61762,641,1447,0,157,-81
"08/29/2019 01:00:00","EDT","MHK VL",61756,407,183,0,15,-290
"08/29/2019 01:00:00","EDT","MILLWD",61759,147,54,31,0,-45
"08/29/2019 01:00:00","EDT","N.Y.C.",61761,2744,1440,1514,117,-169
"08/29/2019 01:00:00","EDT","NORTH",61755,75,336,0,32,-178
"08/29/2019 01:00:00","EDT","WEST",61752,870,591,0,95,-70
"08/29/2019 02:00:00","EDT","CAPITL",61757,901,190,0,5,-63
"08/29/2019 02:00:00","EDT","CENTRL",61754,899,1398,0,81,-1107
"08/29/2019 02:00:00","EDT","DUNWOD",61760,169,226,168,30,-55
"08/29/2019 02:00:00","EDT","GENESE",61753,637,218,0,35,-211
"08/29/2019 02:00:00","EDT","HUD VL",61758,611,144,157,19,-166
"08/29/2019 02:00:00","EDT","LONGIL",61762,551,1446,0,163,-8
"08/29/2019 02:00:00","EDT","MHK VL",61756,391,178,0,4,-278
"08/29/2019 02:00:00","EDT","MILLWD",61759,142,53,29,5,-46
"08/29/2019 02:00:00","EDT","N.Y.C.",61761,2651,1432,1375,122,-96
"08/29/2019 02:00:00","EDT","NORTH",61755,72,333,0,11,-185
"08/29/2019 02:00:00","EDT","WEST",61752,839,595,0,164,-41
"08/29/2019 03:00:00","EDT","CAPITL",61757,891,191,0,21,-63
"08/29/2019 03:00:00","EDT","CENTRL",61754,898,1398,0,89,-1128
"08/29/2019 03:00:00","EDT","DUNWOD",61760,163,218,163,30,-62
"08/29/2019 03:00:00","EDT","GENESE",61753,624,218,0,30,-220
"08/29/2019 03:00:00","EDT","HUD VL",61758,601,142,151,9,-182
"08/29/2019 03:00:00","EDT","LONGIL",61762,493,1447,0,168,0
"08/29/2019 03:00:00","EDT","MHK VL",61756,388,178,0,23,-276
"08/29/2019 03:00:00","EDT","MILLWD",61759,143,50,28,15,-47
"08/29/2019 03:00:00","EDT","N.Y.C.",61761,2602,1451,1308,86,-93
"08/29/2019 03:00:00","EDT","NORTH",61755,70,334,0,1,-175
"08/29/2019 03:00:00","EDT","WEST",61752,828,588,0,183,-34
