Date,Hour,A2FCC,A2FST,GHIST,JCC,JCT,JST,KCT,KST
01/01/2019,0,1913.226,0,0,11261.784,0,1163.8,845.3,2455.4
01/01/2019,1,1329,0,0,10616.1,0,1136.4,366.589,2570.7
01/01/2019,2,1321.2,0,0,10216.57,0,1146.7,344,2550
01/01/2019,3,1332.7,0,0,9990.33,0,1148.7,340.3,2537.6
01/01/2019,4,1322.9,0,0,9817.2,0,1151.3,339.2,2545.5
01/01/2019,5,1607.358,0,0,10126.32,0,1153.5,344.9,2675.7
01/01/2019,6,3180.05,0,0,10939,0,1157.1,349.6,2600.8
01/01/2019,7,4342.384,0,0,11308.825,0,1153.9,347.8,2424.4
01/01/2019,8,4968.704,0,0,12434,0,1157,368.1,2260.3
01/01/2019,9,5796.8,0,0,12771,0,1160.1,366.4,2264.1
01/01/2019,10,6541.8,0,0,13750.655,0,1161.5,367.3,2125.5
01/01/2019,11,6653.8,0,0,14014,0,1161.6,368.6,2207.8
01/01/2019,12,6638.3,0,0,14037.69,0,1163.9,378.5,2258.1
01/01/2019,13,6198.6,0,0,15066.4,0,1167,383.7,2216.3
01/01/2019,14,6068.3,0,0,15356.81,0,1164.996,391.8,2239.3
01/01/2019,15,6607.9,0,0,15447.7,0,1159.6,398.1,2388
01/01/2019,16,7458.2,0,0,15878.3,0,1151.7,532.104,2654.4
01/01/2019,17,8184.6,0,0,16598.9,0,1147.7,786.38,3451.5
01/01/2019,18,9141.3,0,0,17641.2,0,1142.6,415.8,3778.5
01/01/2019,19,8810,0,0,16705.2,0,1139.8,418.1,3590.8
01/01/2019,20,8887.1,0,0,16526.6,0,1142.2,412.7,3210.9
01/01/2019,21,7741.9,0,0,16437.985,0,1146.9,408.4,2690
01/01/2019,22,4313.952,0,0,15469.1,0,1140.4,405,2511.9
01/01/2019,23,2866.602,0,0,14184.055,0,1139,406.7,2138.3
01/02/2019,0,2755.7,0,0,14113.3,0,1141.7,402.3,2329.3
01/02/2019,1,3047.72,0,0,14132,0,1139.1,406.3,2321.4
01/02/2019,2,3117.7,0,0,14157.6,0,1141.4,395.7,2324.1
01/02/2019,3,3663.454,0,0,14321.88,0,1140.1,397.9,2326.5
01/02/2019,4,4638.14,0,0,15115.4,0,1137.3,401.1,2328.3
01/02/2019,5,7135.787,0,0,15472.5,0,1131.7,416.6,2329
01/02/2019,6,10803.845,0,0,16524.2,0,1127.3,444.1,2352.5
01/02/2019,7,14490.46,0,0,18006.1,0,1126.3,456.1,2930
01/02/2019,8,15337.7,0,0,19267.1,0,1120.7,467.3,2938.5
01/02/2019,9,15034.7,0,0,17738.1,0,1101.2,462,2932.7
01/02/2019,10,15155.5,0,0,16207.923,0,1114.2,462.4,2559.3
01/02/2019,11,13052.7,0,0,15665.8,0,1109.6,557.031,2521.1
01/02/2019,12,13242.4,0,0,15576.9,133.4,1110.8,1058,2512.2
01/02/2019,13,14325.1,0,0,15854.8,0,1109.2,1059.5,2518.7
01/02/2019,14,15527.496,0,0,17815.28,133.4,1105.8,1062.3,2538.8
01/02/2019,15,15890.9,0,0,19475.9,0,1104.4,1063.9,2591
01/02/2019,16,17624,0,0,19643.3,133.342,1101.1,1203.406,3276.7
01/02/2019,17,18127.9,0,0,20713.9,963.078,1136.3,1736.716,4782.9
01/02/2019,18,18305.8,0,0,19679.9,1111.386,1118.1,2088.532,4996
01/02/2019,19,18258.2,0,0,19002,10.368,1096.3,2197,4029.3
01/02/2019,20,15852.3,0,0,18264.1,91.84,1097.4,1048.6,2910.8
01/02/2019,21,13505.447,0,0,16457.567,0,1098.1,1023.9,2415.3
01/02/2019,22,7352.955,0,0,17267,0,1094.6,431.87,2399.4
01/02/2019,23,4176.706,0,0,15996.2,0,1097.1,422.2,2274.1
01/03/2019,0,2608.6,0,0,16159.1,0,1099.3,416.6,2095.2
01/03/2019,1,1910.3,0,0,15857.9,0,1096.4,414.6,2137.3
01/03/2019,2,1915.2,0,0,15658.4,0,1183.43,409,2122.9
01/03/2019,3,2512.72,0,0,15004.4,0,1294.2,407.2,2158.5
01/03/2019,4,4963.142,0,0,14496.67,0,1361.2,406,2179.1
01/03/2019,5,8502.325,0,0,14566.9,0,1230.65,410.7,2551.2
01/03/2019,6,10660.8,0,0,16107.5,0,1099.7,413.8,2920.3
01/03/2019,7,13171.233,0,0,17191.6,0,1111.7,423.4,3261.4
01/03/2019,8,14814.2,0,0,17796.1,0,1115.8,430.5,3235.7
01/03/2019,9,15655.7,0,0,17990.5,0,1115.7,431.2,3063.1
01/03/2019,10,15727.9,0,0,16702.8,0,1114.5,431.7,3092.2
01/03/2019,11,15212.1,0,0,16379.6,0,1113.4,428.5,2913.8
01/03/2019,12,14098,0,0,16386.3,0,1120.2,428.5,2984.2
01/03/2019,13,13526.5,0,0,16377.4,0,1121.8,428.3,2992.3
01/03/2019,14,13295.9,0,0,16452.6,0,1109.4,518.225,3279.2
01/03/2019,15,13239.6,0,0,16473.6,0,1099.5,1026.7,3503.6
01/03/2019,16,15006.2,0,0,18721.4,0,1098.1,1181.45,4832.2
01/03/2019,17,14708.3,0,0,19957.8,0,1097.3,2711.7,5528.1
01/03/2019,18,15022.8,0,0,20171.7,0,1354.4,2280.825,5505.5
01/03/2019,19,14758.6,0,0,19109.8,0,1370.9,2142.947,5498.6
01/03/2019,20,14001.7,0,0,18733.4,0,1313.856,1096.225,5391.2
01/03/2019,21,11979.083,0,0,17563.6,0,1410.3,1010.4,4286.9
01/03/2019,22,8476.137,0,0,15716.429,0,1439,426.92,3447.3
01/03/2019,23,6124.897,0,0,13505.09,0,1402.1,427.2,2741.1
01/04/2019,0,4925.2,0,0,12571.6,0,1404.6,431.3,1446.9
01/04/2019,1,4350,0,0,12653.1,0,1428.5,420.8,1115.1
01/04/2019,2,3798.3,0,0,12646.8,0,1444.2,412.9,1114.8
01/04/2019,3,3868,0,0,12888.2,0,1443.3,410.7,1116.6
01/04/2019,4,4226.8,0,0,13677.7,0,1609.3,417.7,1208.8
01/04/2019,5,6083.457,0,0,14481.705,0,1620.8,445.1,1227.9
01/04/2019,6,9369.85,0,0,16474.8,0,1632.2,463.9,1579.2
01/04/2019,7,11332.6,0,0,17001,0,1796.9,475.5,1917.7
01/04/2019,8,12282,0,0,17966.9,0,2155.3,471.1,1897.7
01/04/2019,9,12668.3,0,0,16750.7,0,2089.1,558.206,1892.2
01/04/2019,10,12593.4,0,0,16221.4,0,2099.7,1044.1,1520.4
01/04/2019,11,11750,0,0,16981.7,0,2092.5,1037.4,1325.8
01/04/2019,12,9831.8,0,0,16915.784,0,2082.9,1034.5,1778.4
01/04/2019,13,9652.772,0,0,17060,0,2089.7,1033.8,1795.3
01/04/2019,14,10745.3,0,0,17263,0,2086.4,1037.4,1791.6
01/04/2019,15,13211.6,0,0,17614,0,2063.8,1039.5,1788.5
01/04/2019,16,14040.5,0,0,18620.4,0,2068.4,1112.3,1898.5
01/04/2019,17,13834.8,0,0,19999.6,0,2637.3,1583.6,1896.8
01/04/2019,18,13560.2,0,0,18492.7,73.55,2722.9,1459.5,1905.2
01/04/2019,19,12109.6,0,0,17706.2,363.584,2693.9,1451.2,1917.5
01/04/2019,20,14001.8,0,0,15714.5,0,2084.9,1049.05,1919.6
01/04/2019,21,11512.048,0,0,14026.9,0,2089.8,997.5,1919.5
01/04/2019,22,8592.601,0,0,14139.6,0,2101.2,411.92,1603.5
01/04/2019,23,5559.926,0,0,12042.984,0,2101.5,403,1282.7
01/05/2019,0,4623.4,0,0,11143.2,0,2100.4,387.1,1259
01/05/2019,1,3857.4,0,0,11381.7,0,2100.8,384.5,1264.1
01/05/2019,2,3891.7,0,0,10962.2,0,2111.2,367.7,1262.5
01/05/2019,3,3926.2,0,0,10726.4,0,2094.4,365.7,1265.7
01/05/2019,4,4091.296,0,0,11027.77,0,2085.7,361.9,1266.2
01/05/2019,5,4897.9,0,0,11540.49,0,2085.9,370.8,1262.3
01/05/2019,6,5995.816,0,0,13225.1,0,2085.6,404.2,1266.1
01/05/2019,7,8023.031,0,0,13455.9,0,2078.3,407.1,1271.6
01/05/2019,8,10343.9,0,0,13998.1,0,2268.9,410.5,1284.9
01/05/2019,9,10993.8,0,0,15062.4,0,2191.8,521.701,1487.8
01/05/2019,10,10902.5,0,0,15094.1,0,2258.3,1002.2,1357.6
01/05/2019,11,10723.1,0,0,15331.4,0,2060.8,1005.5,1621.4
01/05/2019,12,10898.2,0,0,16296.3,0,2079.9,1009.8,1896.4
01/05/2019,13,10790.1,0,0,15069.9,0,2074.5,1022.3,1916.7
01/05/2019,14,10764.695,0,0,14911.1,0,2092.1,1022.1,1909.7
01/05/2019,15,10313.3,0,0,14393.5,0,2427.7,1025.6,1908.1
01/05/2019,16,11629.8,0,0,13994.1,0,3118.4,1210.749,1907.9
01/05/2019,17,11722.3,0,0,14272.9,0,4062.7,2191.995,1907.1
01/05/2019,18,12174.5,0,0,14590.1,0,4110,1524.496,1905
01/05/2019,19,9338.5,0,0,15696.6,0,4685,1045.4,1901.8
01/05/2019,20,9485.8,0,0,14589.7,0,4368.3,1017,1790.7
01/05/2019,21,6190.178,0,0,14663.7,0,2806.7,994.1,1426.6
01/05/2019,22,5596.05,0,0,14098.94,0,2086.8,421.08,1263.3
01/05/2019,23,3381.7,0,0,11738.568,0,2086.3,411.3,1266
01/06/2019,0,1500.052,0,0,10400.1,0,2090.9,400.9,1055.5
01/06/2019,1,1347.9,0,0,9857.1,0,2089.5,386.9,1067.2
01/06/2019,2,1348.5,0,0,9989.5,0,2099.9,385.2,968.4
01/06/2019,3,1430.32,0,0,9647.1,0,2103.8,388.3,975.9
01/06/2019,4,2271.654,0,0,9670.396,0,2112.2,389.7,975.1
01/06/2019,5,3678.9,0,0,10578.3,0,2121.1,386.7,968.7
01/06/2019,6,4218.8,0,0,10689.84,0,2083.4,395.9,973.1
01/06/2019,7,3999,0,0,12445.4,0,2107.3,389.5,975.8
01/06/2019,8,4245.4,0,0,14606.6,0,1988.115,388.1,1002.5
01/06/2019,9,4875.01,0,0,15235.3,0,1247.4,409,1075.3
01/06/2019,10,5094.1,0,0,16252.7,0,1110,406.4,1180.6
01/06/2019,11,5657.1,0,0,15769.8,0,1122.5,759.54,1087.15
01/06/2019,12,6139.1,0,0,14025.9,0,1121.3,504.394,1100.1
01/06/2019,13,6099.5,0,0,13065.6,0,1125.1,413,1140.2
01/06/2019,14,5457.388,0,0,13323.308,0,1123.4,540.821,1175.7
01/06/2019,15,5999.7,0,0,13899.2,0,1118.4,1020.9,1319.7
01/06/2019,16,7066.1,0,0,15601.5,0,1116.7,1072.05,1539.7
01/06/2019,17,7495.7,0,0,17719.6,0,1108.2,1470.7,2009.2
01/06/2019,18,8085.4,0,0,18420.8,0,1112.3,1080.9,2065.6
01/06/2019,19,7479.5,0,0,17957.3,0,1108.3,1060.2,1751.8
01/06/2019,20,8184,0,0,17437.9,0,1105.3,1068.1,1569.9
01/06/2019,21,7555.329,0,0,18177.8,0,1155.4,1059.7,1586
